PLAYERS,NBA 2K14,NBA 2K15,NBA 2K16
Aaron Brooks,77,73,75
Aaron Gordon,,74,74
Aaron Harrison,,,66
Adreian Payne,,71,69
Al Horford,82,83,83
Al Jefferson,84,87,83
Al-Farouq Aminu,73,74,73
Alan Anderson,70,71,69
Alec Burks,72,76,76
Alex Len,57,67,74
Alexis Ajinca,48,68,74
Allen Crabbe,64,67,67
Alonzo Gee,71,69,70
Amare Stoudemire,82,77,76
Amir Johnson,71,77,75
Anderson Varejao,77,75,76
Andre Drummond,72,83,83
Andre Iguodala,85,82,77
Andre Miller,76,76,73
Andre Roberson,65,68,72
Andrea Bargnani,70,72,74
Andrew Bogut,78,80,77
Andrew Nicholson,69,71,68
Andrew Wiggins,,77,80
Anthony Bennett,76,70,69
Anthony Brown,,,68
Anthony Davis,79,88,92
Anthony Morrow,65,73,74
Anthony Tolliver,58,73,70
Archie Goodwin,68,69,70
Aron Baynes,60,68,72
Arron Afflalo,76,78,75
Austin Rivers,71,72,73
Avery Bradley,78,78,77
Ben McLemore,72,74,73
Beno Udrih,69,74,75
Bismack Biyombo,65,73,72
Blake Griffin,84,89,88
Boban Marjanovic,,,69
Bobby Portis,,,71
Bojan Bogdanovic,,74,71
Boris Diaw,64,78,74
Bradley Beal,75,81,80
Brandan Wright,68,75,75
Brandon Bass,70,75,74
Branden Dawson,,,66
Brandon Jennings,83,80,80
Brandon Knight,73,79,80
Brandon Rush,71,69,65
Brian Roberts,61,74,72
Brook Lopez,80,80,83
Bruno Caboclo,,64,65
Cameron Bairstow,,66,66
Cameron Payne,,,72
Carl Landry,76,75,74
Carmelo Anthony,91,89,88
Caron Butler,80,76,72
Cartier Martin,65,70,65
Chandler Parsons,76,79,79
Channing Frye,67,76,71
Charlie Villanueva,68,69,72
Chase Budinger,69,70,71
Chris Andersen,66,75,73
Chris Babb,61,,65
Chris Bosh,82,84,84
Chris Copeland,65,71,67
Chris Kaman,75,76,76
Chris McCullough,,,67
Chris Paul,93,91,90
Christapher Johnson,64,68,66
Chuck Hayes,72,69,68
CJ McCollum,72,72,72
CJ Miles,71,73,73
CJ Watson,69,75,74
CJ Wilcox,65,66,67
Cleanthony Early,,70,68
Clint Capela,,67,70
Cody Zeller,68,73,74
Cole Aldrich,61,67,72
Corey Brewer,74,75,76
Cory Jefferson,,66,69
Cory Joseph,64,73,74
Courtney Lee,74,76,75
Cristiano Felicio,,,66
D’Angelo Russell,,,77
Damian Lillard,84,87,86
Damien Inglis,,,69
Damjan Rudez,,69,68
Danilo Gallinari,76,77,76
Danny Green,73,78,77
Dante Cunningham,64,70,69
Dante Exum,,74,73
Darrell Arthur,68,69,71
Darren Collison,79,79,79
David Lee,81,82,76
David West,79,80,77
DeAndre Jordan,72,81,84
DeJuan Blair,69,71,70
Delon Wright,,,70
DeMar DeRozan,77,85,83
DeMarcus Cousins,80,86,87
DeMarre Carroll,64,75,79
Dennis Schroder,68,70,76
Deron Williams,88,84,78
Derrick Favors,78,78,82
Derrick Rose,92,88,84
Derrick Williams,72,71,72
Devin Booker,,,72
Devin Harris,76,75,74
Devyn Marble,,68,67
Dewayne Dedmon,,66,71
Dion Waiters,76,78,73
Dirk Nowitzki,83,88,84
DJ Augustin,72,76,73
Donald Sloan,64,65,73
Donatas Motiejunas,58,69,75
Doug McDermott,,75,68
Draymond Green,62,77,82
Drew Gooden,69,70,70
Duje Dukan,,,63
Dwight Howard,91,88,85
Dwight Powell,,66,68
Dwyane Wade,91,86,86
E’Twaun Moore,62,68,70
Ed Davis,72,73,76
Elfrid Payton,,74,76
Elijah Millsap,,67,67
Emmanuel Mudiay,,,75
Enes Kanter,68,75,80
Eric Bledsoe,82,81,82
Eric Gordon,83,79,78
Eric Moreland,,65,65
Erick Green,,68,65
Ersan Ilyasova,73,73,74
Evan Fournier,66,72,72
Evan Turner,75,76,74
Festus Ezeli,63,67,72
Frank Kaminsky,,,73
Furkan Aldemir,,68,69
Garrett Temple,65,68,71
Gary Harris,,,65
